iter	Passed	Remaining
0	146	146131
1	147	73837
2	152	50554
3	154	38448
4	155	30979
5	157	26032
6	158	22522
7	159	19818
8	160	17720
9	162	16123
10	168	15177
11	171	14127
12	173	13161
13	174	12296
14	175	11538
15	176	10880
16	183	10614
17	184	10081
18	185	9601
19	187	9167
20	188	8774
21	189	8416
22	190	8095
23	192	7812
24	199	7779
25	200	7527
26	202	7303
27	203	7075
28	205	6864
29	206	6675
30	207	6495
31	212	6419
32	213	6255
33	214	6098
34	215	5948
35	216	5805
36	218	5674
37	219	5551
38	221	5460
39	223	5373
40	224	5259
41	225	5150
42	226	5049
43	227	4952
44	229	4861
45	230	4775
46	231	4697
47	232	4615
48	234	4553
49	237	4504
50	239	4451
51	240	4379
52	241	4310
53	242	4245
54	243	4184
55	244	4129
56	246	4071
57	247	4017
58	249	3987
59	253	3973
60	255	3926
61	256	3874
62	257	3825
63	258	3782
64	259	3736
65	260	3692
66	262	3649
67	263	3606
68	268	3620
69	270	3589
70	271	3550
71	272	3512
72	273	3474
73	274	3438
74	275	3403
75	277	3369
76	278	3334
77	281	3327
78	284	3317
79	285	3287
80	287	3256
81	288	3224
82	288	3189
83	289	3160
84	290	3131
85	292	3103
86	294	3091
87	298	3097
88	300	3077
89	301	3049
90	302	3023
91	303	2997
92	304	2972
93	305	2946
94	306	2922
95	307	2897
96	309	2880
97	311	2870
98	314	2862
99	315	2839
100	316	2817
101	317	2795
102	318	2774
103	319	2753
104	320	2734
105	322	2716
106	325	2715
107	328	2717
108	330	2700
109	331	2681
110	332	2665
111	333	2647
112	335	2629
113	336	2611
114	337	2594
115	340	2591
116	343	2591
117	344	2575
118	345	2557
119	346	2541
120	347	2524
121	348	2507
122	349	2491
123	350	2476
124	351	2461
125	354	2456
126	355	2445
127	357	2433
128	358	2419
129	359	2405
130	360	2391
131	361	2377
132	362	2363
133	363	2349
134	364	2336
135	365	2323
136	366	2310
137	369	2307
138	370	2295
139	371	2281
140	372	2268
141	373	2253
142	374	2242
143	375	2230
144	376	2218
145	377	2206
146	378	2194
147	379	2182
148	380	2171
149	381	2160
150	384	2163
151	385	2151
152	386	2139
153	387	2127
154	388	2116
155	389	2105
156	390	2094
157	391	2084
158	392	2073
159	392	2062
160	393	2051
161	394	2040
162	395	2030
163	397	2023
164	398	2017
165	400	2011
166	404	2016
167	405	2008
168	406	2001
169	408	1993
170	409	1986
171	412	1987
172	415	1986
173	417	1981
174	419	1975
175	421	1973
176	423	1967
177	424	1962
178	426	1957
179	428	1952
180	430	1946
181	431	1938
182	432	1932
183	434	1925
184	435	1917
185	436	1910
186	437	1903
187	438	1895
188	440	1888
189	443	1889
190	444	1883
191	446	1878
192	447	1871
193	448	1863
194	449	1856
195	450	1848
196	451	1841
197	452	1834
198	454	1827
199	455	1822
200	458	1820
201	459	1815
202	460	1808
203	461	1801
204	462	1795
205	463	1788
206	464	1781
207	466	1775
208	467	1768
209	468	1762
210	469	1756
211	472	1755
212	473	1749
213	474	1743
214	475	1736
215	476	1730
216	477	1724
217	478	1717
218	479	1711
219	481	1705
220	482	1699
221	483	1693
222	484	1687
223	487	1687
224	488	1683
225	489	1677
226	491	1671
227	492	1666
228	493	1660
229	494	1655
230	495	1649
231	496	1644
232	498	1639
233	502	1645
234	503	1640
235	505	1634
236	506	1629
237	507	1624
238	508	1618
239	509	1614
240	510	1609
241	512	1604
242	513	1598
243	514	1593
244	518	1596
245	519	1591
246	520	1586
247	521	1581
248	522	1576
249	523	1571
250	525	1567
251	526	1561
252	527	1556
253	528	1552
254	529	1547
255	532	1547
256	533	1543
257	535	1538
258	536	1534
259	537	1530
260	539	1526
261	540	1522
262	541	1518
263	543	1515
264	545	1514
265	549	1516
266	550	1511
267	551	1506
268	553	1503
269	554	1498
270	555	1494
271	556	1489
272	557	1485
273	558	1480
274	561	1481
275	562	1476
276	564	1472
277	565	1468
278	566	1463
279	567	1459
280	568	1454
281	569	1450
282	570	1445
283	571	1441
284	573	1437
285	575	1435
286	577	1434
287	578	1430
288	579	1426
289	580	1422
290	582	1418
291	583	1414
292	584	1410
293	585	1405
294	586	1402
295	588	1398
296	590	1397
297	591	1394
298	592	1389
299	593	1385
300	595	1382
301	596	1378
302	597	1374
303	598	1369
304	599	1366
305	600	1362
306	601	1358
307	602	1354
308	603	1350
309	606	1350
310	607	1346
311	608	1342
312	609	1338
313	611	1335
314	612	1331
315	613	1327
316	614	1323
317	615	1319
318	616	1315
319	617	1312
320	618	1308
321	621	1308
322	622	1304
323	623	1300
324	624	1296
325	625	1293
326	626	1289
327	627	1285
328	628	1282
329	629	1278
330	630	1274
331	631	1270
332	632	1267
333	633	1263
334	636	1263
335	637	1260
336	638	1256
337	639	1253
338	640	1249
339	641	1246
340	642	1242
341	643	1238
342	644	1235
343	645	1231
344	647	1228
345	648	1225
346	649	1221
347	651	1220
348	652	1217
349	653	1213
350	654	1210
351	655	1206
352	656	1203
353	657	1199
354	658	1196
355	659	1193
356	660	1189
357	661	1186
358	662	1183
359	663	1180
360	666	1179
361	667	1176
362	668	1173
363	669	1170
364	670	1166
365	671	1163
366	672	1160
367	673	1157
368	675	1154
369	676	1151
370	677	1148
371	678	1145
372	680	1144
373	682	1141
374	682	1138
375	683	1134
376	684	1131
377	685	1128
378	686	1125
379	688	1122
380	689	1119
381	690	1116
382	691	1113
383	692	1110
384	693	1107
385	694	1104
386	696	1102
387	697	1099
388	698	1097
389	699	1094
390	700	1091
391	701	1088
392	702	1085
393	704	1082
394	705	1080
395	706	1077
396	707	1074
397	708	1071
398	711	1071
399	713	1069
400	714	1067
401	715	1064
402	716	1061
403	717	1059
404	719	1056
405	719	1053
406	720	1050
407	721	1047
408	722	1044
409	726	1045
410	727	1042
411	728	1039
412	729	1037
413	731	1035
414	732	1032
415	733	1029
416	734	1026
417	735	1023
418	736	1021
419	737	1018
420	739	1017
421	741	1015
422	743	1013
423	744	1010
424	745	1008
425	746	1005
426	747	1002
427	748	999
428	749	997
429	750	994
430	751	992
431	752	989
432	755	988
433	757	987
434	758	985
435	759	982
436	760	980
437	762	977
438	763	975
439	764	972
440	765	970
441	766	967
442	767	965
443	770	964
444	771	962
445	774	961
446	775	959
447	777	957
448	778	955
449	779	952
450	780	950
451	781	947
452	782	945
453	786	945
454	788	944
455	789	941
456	790	939
457	792	937
458	793	934
459	794	932
460	795	930
461	797	928
462	800	928
463	801	926
464	803	924
465	804	922
466	805	919
467	809	920
468	811	918
469	812	916
470	814	915
471	817	914
472	818	912
473	820	911
474	822	908
475	823	906
476	825	905
477	826	903
478	830	903
479	832	901
480	833	899
481	834	897
482	836	895
483	837	892
484	838	890
485	840	888
486	842	887
487	845	886
488	846	884
489	847	882
490	848	880
491	850	877
492	851	875
493	852	872
494	853	870
495	854	868
496	855	865
497	856	863
498	857	861
499	859	859
500	860	856
501	861	854
502	862	851
503	863	849
504	864	847
505	865	844
506	866	842
507	867	840
508	868	838
509	869	835
510	871	833
511	877	836
512	878	834
513	880	832
514	881	829
515	882	827
516	883	825
517	884	823
518	885	820
519	886	818
520	890	818
521	891	816
522	892	814
523	893	811
524	894	809
525	895	807
526	897	805
527	898	803
528	899	800
529	900	798
530	901	796
531	904	796
532	906	794
533	907	791
534	908	789
535	910	787
536	911	785
537	912	783
538	914	781
539	915	779
540	916	777
541	918	776
542	920	774
543	921	772
544	922	770
545	923	768
546	925	766
547	926	764
548	928	762
549	929	760
550	930	758
551	931	756
552	935	756
553	936	754
554	938	752
555	939	750
556	940	748
557	942	746
558	943	744
559	944	742
560	945	740
561	947	738
562	950	737
563	951	735
564	954	734
565	955	732
566	956	730
567	957	728
568	958	726
569	959	724
570	960	721
571	962	719
572	964	719
573	965	716
574	967	714
575	968	712
576	969	710
577	970	708
578	971	706
579	972	704
580	973	702
581	974	700
582	976	698
583	977	696
584	980	695
585	981	693
586	982	691
587	983	689
588	984	687
589	985	685
590	986	683
591	988	681
592	989	679
593	990	677
594	991	675
595	994	674
596	996	672
597	997	670
598	998	668
599	999	666
600	1001	664
601	1002	662
602	1003	660
603	1040	682
604	1052	687
605	1053	685
606	1055	683
607	1056	681
608	1061	681
609	1066	681
610	1067	679
611	1069	677
612	1070	675
613	1071	673
614	1074	672
615	1075	670
616	1077	668
617	1078	666
618	1079	664
619	1080	662
620	1082	660
621	1084	659
622	1086	657
623	1090	657
624	1093	655
625	1094	653
626	1096	652
627	1097	650
628	1098	648
629	1099	645
630	1101	643
631	1102	641
632	1104	640
633	1105	638
634	1106	635
635	1107	633
636	1108	631
637	1109	629
638	1110	627
639	1111	625
640	1112	623
641	1114	621
642	1115	619
643	1116	617
644	1119	615
645	1120	614
646	1121	611
647	1122	609
648	1123	607
649	1125	605
650	1126	603
651	1127	601
652	1128	599
653	1129	597
654	1130	595
655	1131	593
656	1134	592
657	1136	590
658	1137	588
659	1139	586
660	1140	584
661	1141	582
662	1142	580
663	1143	578
664	1144	576
665	1145	574
666	1146	572
667	1149	571
668	1151	569
669	1152	567
670	1153	565
671	1154	563
672	1155	561
673	1156	559
674	1158	557
675	1159	555
676	1160	553
677	1161	551
678	1164	550
679	1165	548
680	1166	546
681	1167	544
682	1168	542
683	1169	540
684	1171	538
685	1172	536
686	1174	534
687	1175	532
688	1176	530
689	1180	530
690	1181	528
691	1183	526
692	1184	524
693	1185	522
694	1186	520
695	1188	519
696	1189	517
697	1190	515
698	1191	513
699	1194	512
700	1196	510
701	1197	508
702	1198	506
703	1199	504
704	1200	502
705	1202	500
706	1203	498
707	1204	496
708	1205	494
709	1206	492
710	1208	491
711	1209	489
712	1211	487
713	1212	485
714	1213	483
715	1214	481
716	1215	479
717	1216	477
718	1217	475
719	1218	473
720	1219	472
721	1220	470
722	1222	468
723	1225	467
724	1226	465
725	1227	463
726	1228	461
727	1229	459
728	1230	457
729	1231	455
730	1232	453
731	1233	451
732	1234	449
733	1235	447
734	1236	445
735	1240	444
736	1241	442
737	1242	440
738	1243	439
739	1244	437
740	1245	435
741	1246	433
742	1247	431
743	1248	429
744	1249	427
745	1250	425
746	1251	424
747	1254	422
748	1255	420
749	1256	418
750	1257	416
751	1258	415
752	1259	413
753	1260	411
754	1261	409
755	1262	407
756	1263	405
757	1264	403
758	1265	401
759	1266	399
760	1267	398
761	1269	396
762	1270	394
763	1271	392
764	1272	390
765	1273	388
766	1274	387
767	1275	385
768	1276	383
769	1277	381
770	1278	379
771	1279	377
772	1280	376
773	1283	374
774	1284	372
775	1285	371
776	1287	369
777	1288	367
778	1289	365
779	1290	363
780	1291	362
781	1292	360
782	1293	358
783	1294	356
784	1295	354
785	1298	353
786	1299	351
787	1300	349
788	1301	348
789	1302	346
790	1303	344
791	1304	342
792	1305	340
793	1306	338
794	1307	337
795	1308	335
796	1309	333
797	1310	331
798	1313	330
799	1314	328
800	1315	326
801	1316	324
802	1317	323
803	1318	321
804	1319	319
805	1320	317
806	1321	316
807	1322	314
808	1323	312
809	1324	310
810	1325	308
811	1328	307
812	1329	305
813	1330	303
814	1331	302
815	1332	300
816	1333	298
817	1334	296
818	1335	295
819	1336	293
820	1337	291
821	1338	289
822	1339	288
823	1340	286
824	1343	284
825	1344	283
826	1345	281
827	1346	279
828	1347	277
829	1348	276
830	1349	274
831	1350	272
832	1351	270
833	1352	269
834	1353	267
835	1354	265
836	1355	263
837	1356	262
838	1358	260
839	1359	258
840	1360	257
841	1361	255
842	1362	253
843	1363	252
844	1364	250
845	1365	248
846	1366	246
847	1367	245
848	1368	243
849	1369	241
850	1370	239
851	1371	238
852	1373	236
853	1374	234
854	1375	233
855	1376	231
856	1377	229
857	1378	228
858	1379	226
859	1380	224
860	1381	222
861	1382	221
862	1383	219
863	1384	217
864	1385	216
865	1386	214
866	1388	213
867	1389	211
868	1390	209
869	1391	207
870	1392	206
871	1393	204
872	1395	202
873	1396	201
874	1397	199
875	1398	197
876	1399	196
877	1400	194
878	1401	192
879	1403	191
880	1404	189
881	1405	188
882	1406	186
883	1407	184
884	1408	183
885	1410	181
886	1411	179
887	1412	178
888	1413	176
889	1414	174
890	1415	173
891	1416	171
892	1418	169
893	1419	168
894	1420	166
895	1421	164
896	1422	163
897	1423	161
898	1424	160
899	1425	158
900	1426	156
901	1427	155
902	1428	153
903	1429	151
904	1430	150
905	1433	148
906	1434	147
907	1435	145
908	1436	143
909	1437	142
910	1438	140
911	1439	138
912	1440	137
913	1441	135
914	1442	134
915	1443	132
916	1444	130
917	1445	129
918	1447	127
919	1448	125
920	1449	124
921	1450	122
922	1451	121
923	1452	119
924	1453	117
925	1454	116
926	1455	114
927	1456	113
928	1457	111
929	1458	109
930	1459	108
931	1460	106
932	1462	105
933	1464	103
934	1465	101
935	1466	100
936	1467	98
937	1468	97
938	1469	95
939	1470	93
940	1471	92
941	1472	90
942	1473	89
943	1474	87
944	1475	85
945	1476	84
946	1478	82
947	1479	81
948	1480	79
949	1481	77
950	1482	76
951	1483	74
952	1484	73
953	1485	71
954	1486	70
955	1487	68
956	1489	66
957	1490	65
958	1492	63
959	1494	62
960	1495	60
961	1496	59
962	1497	57
963	1498	55
964	1499	54
965	1500	52
966	1501	51
967	1503	49
968	1504	48
969	1505	46
970	1506	44
971	1510	43
972	1512	41
973	1514	40
974	1514	38
975	1516	37
976	1517	35
977	1518	34
978	1519	32
979	1520	31
980	1524	29
981	1525	27
982	1526	26
983	1527	24
984	1528	23
985	1529	21
986	1530	20
987	1531	18
988	1532	17
989	1533	15
990	1535	13
991	1536	12
992	1538	10
993	1540	9
994	1541	7
995	1544	6
996	1546	4
997	1547	3
998	1548	1
999	1550	0
